,precision,recall,f1-score,support
愤怒,0.5352422907488987,0.5083682008368201,0.5214592274678111,478.0
厌恶,0.5238095238095238,0.4,0.4536082474226804,55.0
恐惧,0.46923076923076923,0.34724857685009486,0.39912758996728465,527.0
开心,0.7911065149948294,0.8742857142857143,0.8306188925081434,875.0
难过,0.5396383866481224,0.5996908809891809,0.568081991215227,647.0
惊讶,0.44761904761904764,0.46534653465346537,0.4563106796116505,606.0
中性,0.7338501291989664,0.7082294264339152,0.7208121827411168,401.0
accuracy,0.603789356366676,0.603789356366676,0.603789356366676,0.603789356366676
macro avg,0.5772138088928797,0.5575956191498844,0.5642884015619877,3589.0
weighted avg,0.5959418321593346,0.603789356366676,0.5975081472932141,3589.0
